Topic,Raw Count,Appearance Percentage
 death bleakley happy shall happy,1,2.5
 month th th month february,1,2.5
 hours hour short hour day,1,2.5
 labour conference union council,1,2.5
 unemployment wages employers holiday,1,2.5
 trade cent year rates,1,2.5
 insurance fund pensions sick,1,2.5
 war peace men hope,1,2.5
 firm trade firms employment,1,2.5
 miners industry manufacturers coal,1,2.5
 death sympathy widow funeral,1,2.5
 cent year increase compared,1,2.5
 operatives seamen orders officers,1,2.5
 trade bad rushden trade bad,1,2.5
 males females total males females,1,2.5
 happy shall happy prominence trust members,1,2.5
 branch war education government,1,2.5
 mr labour party labour party,1,2.5
 firm firms manufacturers industry,1,2.5
 houses housing living cost living,1,2.5
 arbitration agreement agreements defendant,1,2.5
 ireland irish britain great britain,1,2.5
 work wants man business,1,2.5
 labour union unemployment employers,1,2.5
 mr leicester street smith,1,2.5
 conference council rule delegates,1,2.5
 man work week pay,1,2.5
 herald daily daily herald herald daily,1,2.5
 education teachers school educational,1,2.5
 belgium france italy countries,1,2.5
 union labour employers workers,1,2.5
 conference council resolution delegates,1,2.5
 mr hm leicester smith,1,2.5
 trade industry trade board bad,1,2.5
 insurance benefit fund pensions,1,2.5
 war peace movement future,1,2.5
 street leicester road kettering,1,2.5
 agreement arbitration defendant agreements,1,2.5
 mr poulton president smith,1,2.5
 fund insurance superannuation funds,1,2.5
 conference party labour party labour,1,2.5
 cent increase year improvement,1,2.5
 education school educational teachers,1,2.5
 arbitration defendant board court,1,2.5
 members membership president general president,1,2.5
 street road london hall,1,2.5
 insurance superannuation pensions health insurance,1,2.5
 hm dead mr females,1,2.5
 trade bad trade board board,1,2.5
 members branch war government,1,2.5
 ireland irish emigration countries,1,2.5
 hm dead females buckle,1,2.5
 convention scheme federation agreement,1,2.5
 superannuation pensions fund sick,1,2.5
 hours holiday hour day,1,2.5
 boot shoe trade boot shoe,1,2.5
 holiday th month th month,1,2.5
 prices food price sugar,1,2.5
 street road leicester kettering,1,2.5
 employment unemployed short time short,1,2.5
 cost living rates cost prices,1,2.5
 jubilee letter meeting wish,1,2.5
 union conference labour unions,1,2.5
 rates prices statements scheme,1,2.5
 branch members branches district,1,2.5
 miners food industry coal,1,2.5
 superannuation benefit pensions sick,1,2.5
 firm firms manufacturers inspectors,1,2.5
 operatives short time short suspension,1,2.5
 arbitration defendant court case,1,2.5
 insurance health health insurance compensation,1,2.5
 death sympathy died funeral,1,2.5
 trade firm firms industry,1,2.5
 labour party labour party house,1,2.5
 women shoe boot leather,1,2.5
 firm industry manufacturers firms,1,2.5
 war government russia nations,1,2.5
 leicester street london road,1,2.5
 cent cost living living increase,1,2.5
 rely correspondents men facts,1,2.5
 members membership organisers happy,1,2.5
 holiday th holidays february,1,2.5
 street london road street london,1,2.5
 fund insurance superannuation compensation,1,2.5
 operatives members meeting office,1,2.5
 houses living cost living housing,1,2.5
 education educational district teachers,1,2.5
 thanks visit president pleased,1,2.5
 london street road metro,1,2.5
 cent rates increase figures,1,2.5
 food prices war sugar,1,2.5
 government war russia policy,1,2.5
 firm manufacturers industry firms,1,2.5
 insurance benefit superannuation pensions,1,2.5
 party labour labour party mr,1,2.5
 death sympathy regret widow,1,2.5
 street leicester london kettering,1,2.5
 trade rates prices bad,1,2.5
