,Error_Size,Topic_20_Size,Gini_Score,Stability_Score,Keyword_Freq_Score
19,42117,200,0.739821955385332,199,0.16
20,42117,200,0.739821955385332,199,0.16
21,52821,599,0.574260501344543,254,0.19
22,42117,200,0.739821955385332,199,0.16
23,50933,414,0.6660514615736843,206,0.17
24,42117,200,0.739821955385332,199,0.16
25,52821,599,0.574260501344543,254,0.19
26,55288,566,0.5398038834636998,229,0.18
27,42117,200,0.739821955385332,199,0.16
28,42117,200,0.739821955385332,199,0.16
29,42117,200,0.739821955385332,199,0.16
30,52821,599,0.574260501344543,254,0.19
31,50933,414,0.6660514615736843,206,0.17
32,50933,414,0.6660514615736843,206,0.17
33,42117,200,0.739821955385332,199,0.16
34,55288,566,0.5398038834636998,229,0.18
35,55288,566,0.5398038834636998,229,0.18
36,50933,414,0.6660514615736843,206,0.17
37,55288,566,0.5398038834636998,229,0.18
38,50933,414,0.6660514615736843,206,0.17
39,50933,414,0.6660514615736843,206,0.17
40,42117,200,0.739821955385332,199,0.16
41,52821,599,0.574260501344543,254,0.19
42,52821,599,0.574260501344543,254,0.19
43,55288,566,0.5398038834636998,229,0.18
44,52821,599,0.574260501344543,254,0.19
45,52821,599,0.574260501344543,254,0.19
46,52821,599,0.574260501344543,254,0.19
47,50933,414,0.6660514615736843,206,0.17
48,50933,414,0.6660514615736843,206,0.17
49,42117,200,0.739821955385332,199,0.16
50,52821,599,0.574260501344543,254,0.19
51,42117,200,0.739821955385332,199,0.16
52,52821,599,0.574260501344543,254,0.19
53,50933,414,0.6660514615736843,206,0.17
54,50933,414,0.6660514615736843,206,0.17
55,50933,414,0.6660514615736843,206,0.17
56,52821,599,0.574260501344543,254,0.19
57,50933,414,0.6660514615736843,206,0.17
58,52821,599,0.574260501344543,254,0.19
59,42117,200,0.739821955385332,199,0.16
0,42117,200,0.739821955385332,199,0.16
1,42117,200,0.739821955385332,199,0.16
2,55127,690,0.4614747043533644,307,0.19
